role,text
user,本日はお時間いただきありがとうございます。まずは御社で今現在一番困っているIT／業務上の課題をお聞かせいただけますか？
ai,そうですねぇ…正直、在庫や生産の状況がリアルタイムで見えないのが大きいです。Excelで手作業しているので、更新が遅れて現場とズレが出てしまって…。現場から「また間違ってるぞ」と言われることもあって、頭が痛いですね。
user,なるほど…。そのズレが起きると、実際にはどんな影響が出てしまいますか？
ai,例えば部品の発注が遅れて納期に間に合わないとか、逆に余計に仕入れて在庫が余ってしまうとか…。結局コストにも響きますし、現場からの信頼も落ちてしまうんですよ。
user,人材の体制についてはいかがでしょう？社内で改善に取り組むには十分なリソースはありますか？
ai,それが一番の悩みどころで…。システムに詳しい人間は自分含めて数人だけ。しかも普段の業務で手一杯なので、新しい取り組みを進める余裕がないんです。外部の知見を借りたいのはやまやまですが、コストのことを考えると尻込みしてしまいます。
user,そうしたところに、外部のプロ人材が伴走するWithGrowのようなサービスがフィットするかと思います。例えば最初に現状分析から一緒に入って、改善のロードマップを整理することも可能ですが、そういった進め方はいかがでしょうか？
ai,もし本当に現場を理解してくれる方が一緒に走ってくれるなら助かりますね。ただ「コンサル入れて終わり」みたいなのは避けたいです。小さく試して成果を見せてもらえると安心できます。
user,ご懸念ありがとうございます。契約も柔軟に変動費としてご利用いただけるので、大きな初期投資は不要です。その点はいかがでしょうか？
ai,それなら検討しやすいですね。やっぱり社内からも「予算どうするんだ」と突っ込まれるので…。タイミング的には来期の予算策定に間に合えばありがたいです。
